Set	SeqID	RNA Extraction	Library Preparation	Total Number of Reads	Number of Unique Reads	Exon Fraction	Intron Fraction	Intergenic Fraction	Fraction Protein Coding
Pilot	PP002	batch 1	batch 1	33192487	9477957	0.93	0.05	0.02	0.81
Pilot	PP003	batch 1	batch 1	29467052	4214981	0.86	0.11	0.03	0.82
Pilot	PP004	batch 1	batch 1	29574675	3825380	0.82	0.13	0.04	0.85
Pilot	PP005	batch 1	batch 1	33768635	4088109	0.86	0.1	0.03	0.83
Pilot	PP007	batch 1	batch 1	31698177	1171491	0.84	0.13	0.03	0.89
Pilot	PP008	batch 1	batch 1	30079806	10677465	0.74	0.19	0.07	0.74
Pilot	PP010	batch 2	batch 1	38503355	3863232	0.76	0.18	0.06	0.81
Pilot	PP011	batch 2	batch 1	31034252	4395327	0.86	0.11	0.04	0.84
Pilot	PP012	batch 2	batch 1	35799309	4766786	0.92	0.07	0.02	0.83
Pilot	PP015	batch 2	batch 1	30093097	6852599	0.84	0.12	0.04	0.87
Pilot	PP016	batch 2	batch 1	29890017	6853766	0.86	0.1	0.04	0.81
Pilot	PP017	batch 3	batch 1	34646834	6092611	0.69	0.23	0.08	0.77
Pilot	PP018	batch 3	batch 1	35833774	3469637	0.59	0.3	0.1	0.81
Pilot	PP019	batch 3	batch 1	36506970	4711445	0.72	0.21	0.07	0.76
Pilot	PP020	batch 3	batch 1	34201040	5321020	0.8	0.15	0.05	0.76
Pilot	PP026	batch 4	batch 1	40104631	3473624	0.83	0.13	0.05	0.84
Pilot	PP027	batch 4	batch 1	34476121	17271358	0.85	0.11	0.04	0.74
Pilot	PP029	batch 4	batch 1	30273014	3882069	0.9	0.08	0.02	0.84
Pilot	PP031	batch 4	batch 1	35139077	9791729	0.7	0.25	0.06	0.76
Pilot	PP032	batch 4	batch 1	31904022	4016176	0.87	0.1	0.04	0.83
Pilot	PP035	batch 4	batch 2	30996985	13700958	0.86	0.11	0.04	0.78
Pilot	PP036	batch 4	batch 2	36919622	7006298	0.71	0.22	0.07	0.8
Pilot	PP041	batch 5	batch 2	35773928	6240377	0.83	0.13	0.04	0.82
Pilot	PP043	batch 5	batch 2	31753026	7231832	0.71	0.22	0.07	0.81
Pilot	PP046	batch 5	batch 2	30298636	4380430	0.84	0.13	0.04	0.84
Pilot	PP047	batch 5	batch 2	31468616	13876029	0.93	0.05	0.02	0.81
Pilot	PP048	batch 5	batch 2	32642636	8534075	0.82	0.14	0.05	0.81
Pilot	PP049	batch 6	batch 2	37084139	9845748	0.88	0.08	0.03	0.89
Pilot	PP050	batch 6	batch 2	40532989	5076857	0.87	0.1	0.03	0.87
Pilot	PP055	batch 6	batch 2	34851176	15323436	0.91	0.07	0.02	0.83
Pilot	PP058	batch 7	batch 2	36866771	5758608	0.9	0.08	0.02	0.85
Pilot	PP060	batch 7	batch 2	37126236	4991733	0.75	0.19	0.06	0.82
Pilot	PP061	batch 7	batch 2	37509562	13009859	0.78	0.18	0.03	0.78
Pilot	PP062	batch 7	batch 2	36883791	21874141	0.9	0.08	0.03	0.83
Pilot	PP073	batch 8	batch 3	43566479	2482378	0.8	0.16	0.04	0.87
Pilot	PP074	batch 8	batch 3	34208260	5631056	0.92	0.06	0.02	0.85
Pilot	PP075	batch 8	batch 3	31957614	5211761	0.84	0.12	0.04	0.84
Pilot	PP078	batch 8	batch 3	36596920	14457187	0.89	0.08	0.03	0.78
Pilot	PP087	batch 9	batch 3	34570617	2699261	0.8	0.15	0.05	0.84
Pilot	PP091	batch 10	batch 3	38121200	3181309	0.82	0.14	0.04	0.83
Pilot	PP097	batch 11	batch 4	27998299	3867357	0.81	0.15	0.05	0.84
Pilot	PP098	batch 11	batch 4	27748334	14243418	0.68	0.24	0.08	0.75
Pilot	PP099	batch 11	batch 4	28514250	6664874	0.77	0.18	0.06	0.8
Pilot	PP102	batch 11	batch 4	28850027	7551982	0.89	0.09	0.03	0.83
Pilot	PP103	batch 11	batch 4	27808286	14620805	0.45	0.4	0.15	0.65
Pilot	PP105	batch 11	batch 4	30350083	8031052	0.83	0.13	0.04	0.82
Pilot	PP109	batch 12	batch 4	28245277	14323721	0.71	0.21	0.08	0.74
Pilot	PP111	batch 12	batch 4	33349408	7413209	0.77	0.17	0.06	0.83
Pilot	PP114	batch 12	batch 4	33053778	2478571	0.73	0.2	0.06	0.86
Pilot	PP116	batch 12	batch 4	31973526	4755722	0.87	0.11	0.03	0.85
Validation	RSQ_041b	batch 4	batch 3	33772810	29487019	0.94	0.04	0.02	0.80
Validation	RSQ_047	batch 1	batch 1	36641798	19005596	0.94	0.05	0.02	0.80
Validation	RSQ_049	batch 1	batch 2	59627326	40642737	0.94	0.05	0.02	0.77
Validation	RSQ_051	batch 1	batch 2	63448881	44393036	0.70	0.21	0.09	0.63
Validation	RSQ_054	batch 1	batch 2	35688068	29607149	0.95	0.04	0.01	0.80
Validation	RSQ_055	batch 1	batch 2	55042717	38897839	0.95	0.04	0.01	0.78
Validation	RSQ_060	batch 5	batch 2	54988336	24189119	0.90	0.07	0.02	0.88
Validation	RSQ_065	batch 2	batch 2	40294719	31024201	0.70	0.22	0.09	0.72
Validation	RSQ_066	batch 2	batch 2	37682907	24430096	0.64	0.26	0.10	0.76
Validation	RSQ_067	batch 2	batch 2	44706577	33873748	0.90	0.07	0.03	0.84
Validation	RSQ_068	batch 2	batch 2	44448294	35928995	0.91	0.07	0.02	0.83
Validation	RSQ_069	batch 2	batch 2	46440958	11272976	0.92	0.06	0.02	0.86
Validation	RSQ_070	batch 2	batch 2	46662511	37811541	0.95	0.04	0.01	0.86
Validation	RSQ_071	batch 2	batch 2	47314236	39458883	0.90	0.07	0.03	0.83
Validation	RSQ_072	batch 2	batch 2	42356958	31455839	0.92	0.06	0.02	0.86
Validation	RSQ_073	batch 3	batch 2	46146349	37190739	0.95	0.04	0.01	0.82
Validation	RSQ_074	batch 3	batch 2	47427477	41824062	0.95	0.04	0.01	0.79
Validation	RSQ_076	batch 3	batch 2	56514756	45112223	0.95	0.04	0.02	0.82
Validation	RSQ_077	batch 3	batch 2	49317771	41506358	0.95	0.04	0.01	0.82
Validation	RSQ_078	batch 3	batch 2	46629655	36123700	0.95	0.04	0.01	0.80
Validation	RSQ_132	batch 6	batch 5	40631324	33192598	0.90	0.08	0.03	0.73
Validation	RSQ_134	batch 6	batch 5	51608369	31562510	0.76	0.17	0.07	0.75
Validation	RSQ_135	batch 6	batch 5	53647921	38218341	0.93	0.06	0.02	0.81
