dataset_short_name	dataset_batch	assay_type	bioproject	center_name	consent	datastore_provider	datastore_region	librarylayout	libraryselection	librarysource	organism	platform	sra_study	biosamplemodel	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	read_length	centrifugation_step_1	centrifugation_step_2	plasma_tubes	assay_name	sra_link	rna_extraction_kit	biomaterial	library_selection	library_prep_kit	cdna_library_type	rna_extraction_kit_short_name	library_prep_kit_short_name	plasma_tubes_short_name	dnase	broad_protocol_category	nucleic_acid_type	health_state	race	lab	dev_stage	description	assemblyname	library_prep_kit_short	project	is_excluded_from_study	stage_cancer_simple	phenotype_subtype	cancer_stage	analysis_batch	n_samples
chen	chen	RNA-Seq	PRJNA729258	GEO	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP319399					2x150	Unspecified	Unspecified	EDTA	RNA-Seq	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174302	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	plasma	Whole-Transcriptome	SMARTer Stranded Pico v2	Reverse	Norgen	SMARTer Pico v2	EDTA	DNase I	Whole RNA-Seq (random pr.) (WRR)	Total RNA													chen	230
zhu	zhu	RNA-Seq	PRJNA598835	GEO	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP239389					2x150	Unspecified	Unspecified	Unspecified	RNA-Seq	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142987	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	plasma	Whole-Transcriptome	SMARTer Stranded Pico v2	Reverse	Norgen	SMARTer Pico v2	Unspecified	DNase I	Whole RNA-Seq (random pr.) (WRR)	Total RNA													zhu	65
roskams	roskams_pilot	RNA-Seq	PRJNA758012	GEO	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP334205					2x100	1000g	15000g	EDTA	RNA-Seq	https://www.ncbi.nlm.nih.gov/sra?term=SRP334205	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	plasma	Whole-Transcriptome	SMARTer Stranded Pico v2	Reverse	Norgen	SMARTer Pico v2	EDTA	Baseline-ZERO	Whole RNA-Seq (random pr.) (WRR)	Total RNA													roskams	51
roskams	roskams_validation	RNA-Seq	PRJNA758012	GEO	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP334205					2x150	1000g	15000g	EDTA	RNA-Seq	https://www.ncbi.nlm.nih.gov/sra?term=SRP334205	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	plasma	Whole-Transcriptome	SMARTer Stranded Pico v2	Reverse	Norgen	SMARTer Pico v2	EDTA	Baseline-ZERO	Whole RNA-Seq (random pr.) (WRR)	Total RNA													roskams	39
ngo	ngo	RNA-Seq	PRJNA430710	QUAKE LAB, STANFORD UNIVERSITY	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	RT-PCR	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP130149	Human				2x75	Unspecified	Unspecified	EDTA	RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA430710	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	plasma	Whole-Transcriptome	SMARTer Stranded Pico v2	Reverse	Norgen	SMARTer Pico v2	EDTA	Baseline-ZERO	Whole RNA-Seq (random pr.) (WRR)	Total RNA	pregnant	African-American											ngo	15
ibarra	ibarra_serum	RNA-Seq	PRJNA517339	MOLECULAR STETHOSCOPE	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP182602	Human				2x75	1900g	16000g		RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA517339	Qiagen QIAamp Circulating Nucleic Acid Kit	serum	Whole-Exome Capture	Unspecified	Unstranded	Qiagen QIAamp	Unspecified	Vacutainer	Turbo DNAse	Exome-based (EB)	Total RNA													ibarra	87
ibarra	ibarra_plasma_cancer	RNA-Seq	PRJNA517339	MOLECULAR STETHOSCOPE	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP182602	Human				2x75	1900g	6000g		RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA517339	Qiagen QIAamp Circulating Nucleic Acid Kit	plasma	Whole-Exome Capture	Unspecified	Unstranded	Qiagen QIAamp	Unspecified	EDTA	Turbo DNAse	Exome-based (EB)	Total RNA													ibarra	97
ibarra	ibarra_buffy_coat	RNA-Seq	PRJNA517339	MOLECULAR STETHOSCOPE	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP182602	Human				2x75	1900g	None		RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA517339	Qiagen QIAamp Circulating Nucleic Acid Kit	buffy coat	Whole-Exome Capture	Unspecified	Unstranded	Qiagen QIAamp	Unspecified	EDTA	Turbo DNAse	Exome-based (EB)	Total RNA													ibarra	28
ibarra	ibarra_plasma_non_cancer	RNA-Seq	PRJNA517339	MOLECULAR STETHOSCOPE	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP182602	Human				2x75	1900g	16000g		RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA517339	Qiagen QIAamp Circulating Nucleic Acid Kit	plasma	Whole-Exome Capture	Unspecified	Unstranded	Qiagen QIAamp	Unspecified	EDTA	Turbo DNAse	Exome-based (EB)	Total RNA													ibarra	73
toden	toden	RNA-Seq	PRJNA574438	MOLECULAR STETHOSCOPE	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	Hybrid Selection	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP223445	Human	uncalculated	uncalculated	missing	2x75	12000g	None	Unspecified	RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA574438/	Qiagen QIAamp Circulating Nucleic Acid Kit	plasma	Whole-Exome Capture	Swift 2S kit	Unstranded	Qiagen QIAamp	Swift 2S kit	Unspecified		Exome-based (EB)	Total RNA													toden	243
chalasani	chalasani	RNA-Seq	PRJNA701722	MOLECULAR STETHOSCOPE	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	Hybrid Selection	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP308394	Human				2x75	1900g	None	BD Vacutainer clotting tubes	RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA701722	Qiagen QIAamp Circulating Nucleic Acid Kit	serum	Whole-Exome Capture	Unspecified	Unstranded	Qiagen QIAamp	Unspecified	Vacutainer	Turbo DNAse	Exome-based (EB)	Total RNA													chalasani	266
block	block_150bp	RNA-Seq	PRJNA907745	RAYBIOTECH LIFE, INC.	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP411015	Human				2x75	2000g	None	Unspecified	RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA907745	Qiagen RNeasy Serum/Plasma Kit	plasma	Whole-Transcriptome	SMARTer Stranded Pico v2	Reverse	Qiagen RNeasy Plasma	SMARTer Pico v2	Unspecified		Whole RNA-Seq (random pr.) (WRR)	Total RNA													block	21
block	block_300bp	RNA-Seq	PRJNA907745	RAYBIOTECH LIFE, INC.	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP411015	Human				2x150	2000g	None	Unspecified	RNA-Seq	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA907745	Qiagen RNeasy Serum/Plasma Kit	plasma	Whole-Transcriptome	SMARTer Stranded Pico v2	Reverse	Qiagen RNeasy Plasma	SMARTer Pico v2	Unspecified		Whole RNA-Seq (random pr.) (WRR)	Total RNA													block	8
rozowsky	rozowsky	RNA-Seq	PRJNA30709	GEO	public	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP013565					2x100	None	None		RNA-Seq	https://www.encodeproject.org/search/?type=Experiment&status=released&internal_tags=ENTEx&assay_title=total+RNA-seq	Qiagen RNeasy Lipid or Fibrous Tissue Mini Kit	tissue	Whole-Transcriptome > 200 nt	Custom	Reverse	Qiagen RNeasy Tissue	Custom_Rozowsky	None	DNase I	Whole RNA-Seq (random pr.) (WRR)	Total RNA			Thomas Gingeras, CSHL	adult									rozowsky	100
