Sample	Homo sapiens	Hydrogenophilus thermoluteolus	Phaeodactylum tricornutum	Allomeiothermus silvanus	Hepacivirus C	Other	Unclassified	Thalassiosira pseudonana	Pegivirus C
10648	916564.0	12930.0	1317.0	3567.0		1037664.0	27958.0		
10651	1653962.0	420.0	62.0	135.0		331269.0	14152.0		
10657	1748157.0	766.0	50.0	226.0		237298.0	13503.0		
10659	1805668.0	932.0	87.0	291.0		176700.0	16322.0		
10663	1539447.0	1533.0	345.0	429.0		440884.0	17362.0		
10730	1861647.0	590.0	71.0	171.0		125980.0	11541.0		
10740	1709919.0	1746.0	719.0	461.0		273204.0	13951.0		
10758	1827725.0	671.0	60.0	186.0		158586.0	12772.0		
10770	1139660.0	22619.0	2225.0	6030.0		783257.0	46209.0		
10772	1687754.0	869.0	194.0	282.0		295900.0	15001.0		
10774	1767102.0	1532.0	93.0	437.0		219632.0	11204.0		
10778	1813390.0	781.0	40.0	227.0		172882.0	12680.0		
10782	1839571.0	1258.0	78.0	363.0		145301.0	13429.0		
10790	1833166.0	1016.0	80.0	280.0		155025.0	10433.0		
10792	1713081.0	1488.0	152.0	425.0		271656.0	13198.0		
12687	1306958.0	11416.0	6208.0	2962.0		652393.0	20063.0		
12768	1871423.0	1263.0	601.0	344.0		111410.0	14959.0		
12771	1829179.0	3720.0	2093.0	1030.0		146611.0	17367.0		
12772	1862806.0	3689.0	1522.0	1111.0		112306.0	18566.0		
12773	1701602.0	4976.0	2303.0	1298.0	28951.0	226100.0	34770.0		
12775	1931120.0	1506.0	694.0	463.0		55090.0	11127.0		
12776	1830557.0	1576.0	657.0	528.0		146578.0	20104.0		
12777	1750004.0	3911.0	2000.0	991.0		223973.0	19121.0		
12779	1920164.0	1345.0	1347.0	381.0		62231.0	14532.0		
12780	1907744.0	2734.0	941.0	709.0		71002.0	16870.0		
12783	1860387.0	3102.0	2178.0	932.0		110175.0	23226.0		
12784	1866628.0	1257.0	516.0	359.0		115442.0	15798.0		
12785	1774478.0	4071.0	1879.0	974.0		201426.0	17172.0		
12786	1842013.0	3634.0	2490.0	936.0		131639.0	19288.0		
12787	1896363.0	2222.0	734.0	551.0		81638.0	18492.0		
12788	1848316.0	3539.0	1524.0	1097.0		127196.0	18328.0		
12789	1907514.0	1374.0	1014.0	287.0		71487.0	18324.0		
12790	1911518.0	2646.0	1551.0	776.0		68244.0	15265.0		
12792	1938250.0	1316.0	410.0	316.0		46346.0	13362.0		
12793	1913784.0	2268.0	910.0	638.0	1.0	68227.0	14172.0		
12794	1864646.0	2178.0	901.0	624.0		120404.0	11247.0		
12795	1677359.0	6604.0	1729.0	1506.0		293284.0	19518.0		
12796	1942524.0	1079.0	579.0	310.0		41975.0	13533.0		
12797	1815819.0	1952.0	1078.0	469.0		162875.0	17807.0		
12798	1840807.0	2874.0	790.0	753.0		138718.0	16058.0		
12799	1798579.0	1773.0	995.0	383.0		177419.0	20851.0		
12800	1672143.0	4129.0	1843.0	1011.0		301487.0	19387.0		
12802	1799305.0	13948.0	5401.0	3409.0		158797.0	19140.0		
12803	1749385.0	14756.0	5463.0	4198.0		205303.0	20895.0		
12804	1860574.0	3397.0	1128.0	915.0		117491.0	16495.0		
12805	1446612.0	893.0	436.0	232.0		542177.0	9650.0		
12806	1554744.0	3582.0	1487.0	885.0		421557.0	17745.0		
12807	1861641.0	2268.0	2445.0	632.0		113861.0	19153.0		
12808	1838754.0	2179.0	762.0	593.0		141603.0	16109.0		
12819	1783817.0	3284.0	2021.0	856.0		190163.0	19859.0		
12824	1845535.0	1119.0	571.0	353.0		137120.0	15161.0	141.0	
12829	1809786.0	1828.0	734.0	524.0		170200.0	16741.0	187.0	
12835	1790495.0	3121.0	1435.0	702.0		188369.0	15511.0	367.0	
12841	1895498.0	1017.0	676.0	285.0		89423.0	12929.0	172.0	
12846	1882074.0	867.0	515.0	310.0		99660.0	16431.0	143.0	
12852	1709960.0	2742.0	1120.0	639.0		271808.0	13386.0	345.0	
12858	1798240.0	6552.0	4444.0	1733.0		163491.0	24314.0	1226.0	
12864	1663958.0	3163.0	1015.0	885.0		314221.0	16508.0	250.0	
12882	1384438.0	6355.0	2933.0	1744.0		587551.0	16216.0	763.0	
12883	1853693.0	1141.0	538.0	279.0		129286.0	14916.0	147.0	
12884	1906887.0	2818.0	1031.0	685.0		75525.0	12788.0	266.0	
12885	1867324.0	4713.0	1879.0	1232.0		105690.0	18561.0	601.0	
12886	1913101.0	2299.0	762.0	611.0		68843.0	14203.0	181.0	
12887	1752857.0	8962.0	8191.0	2348.0		200509.0	25209.0	1924.0	
12888	1901093.0	638.0	527.0	182.0		80795.0	16622.0	143.0	
12889	1833938.0	2104.0	2273.0	542.0		140954.0	19523.0	666.0	
