Sample	Homo sapiens	Methanocaldococcus jannaschii	Hydrogenophilus thermoluteolus	Pegivirus C	Phaeodactylum tricornutum	Other	Unclassified	Bacillus subtilis	Allomeiothermus silvanus	Stenotrophomonas maltophilia	Pochonia chlamydosporia	Aspergillus puulaauensis	Thermus sp. NEB1569	Thalassiosira pseudonana
SRR8492545	1341096.0	15408.0	34.0		142.0	630093.0	13227.0							
SRR8492546	1648168.0	5360.0	6.0	5.0	288.0	336528.0	9645.0							
SRR8492547	1670864.0	7419.0	1908.0		211.0	304545.0	15053.0							
SRR8492548	1869639.0	2534.0	8.0		51.0	118173.0	9595.0							
SRR8492549	1575247.0	1888.0	762.0	5572.0	45.0	403227.0	13259.0							
SRR8492550	1905402.0	1562.0	12.0		36.0	84916.0	8072.0							
SRR8492551	1700289.0	4622.0	14.0	3615.0	99.0	278658.0	12703.0							
SRR8492552	1868010.0	2827.0	3.0		51.0	120630.0	8479.0							
SRR8492553	1798787.0	3835.0	5.0	1659.0	58.0	185408.0	10248.0							
SRR8492554	1786207.0	4464.0	13.0	2839.0	47.0	196716.0	9714.0							
SRR8492555	1919660.0	1306.0	1.0		37.0	70682.0	8314.0							
SRR8492556	1778926.0	261.0	1916.0		847.0	200851.0	17199.0							
SRR8492557	1754991.0	171.0	6131.0		3351.0	214443.0	20913.0							
SRR8492558	1800960.0	64.0	3447.0		1261.0	182319.0	11949.0							
SRR8492559	1729018.0	551.0	977.0		429.0	249469.0	19556.0							
SRR8492560	1789643.0	60.0	3485.0		1337.0	186560.0	18915.0							
SRR8492561	1747552.0	303.0	2967.0		1023.0	232688.0	15467.0							
SRR8492562	1625970.0	513.0	2499.0		1315.0	356601.0	13102.0							
SRR8492563	1669659.0	94.0	2842.0		1614.0	315881.0	9910.0							
SRR8492564	1899161.0	128.0	153.0		31.0	87508.0	13019.0							
SRR8492565	1863109.0		1758.0			86927.0	48204.0	2.0						
SRR8492566	1615206.0	1099.0	653.0			372499.0	10352.0	191.0						
SRR8492567	1547512.0	1514.0	490.0			437929.0	12248.0	307.0						
SRR8492568	1363534.0	1829.0	880.0			619628.0	13718.0	411.0						
SRR8492569	1332929.0	1990.0	890.0			653417.0	10347.0	427.0						
SRR8492570	1969045.0	2.0	1.0			22442.0	8510.0							
SRR8492571	1964706.0	3.0				22491.0	12799.0	1.0						
SRR8492572	1961793.0	3.0				22958.0	15244.0	2.0						
SRR8492573	1592631.0	9393.0	225.0			379997.0	17296.0	458.0						
SRR8492574	1622272.0	6970.0	9.0			357157.0	12792.0	800.0						
SRR8492575	1649789.0	5807.0	1333.0			325221.0	17301.0	549.0						
SRR8492576	1553531.0	11067.0	2242.0			413731.0	18839.0	590.0						
SRR8492577	1545072.0	8518.0	2283.0			427397.0	16172.0	558.0						
SRR8492578	1966384.0	1.0				22861.0	10754.0							
SRR8492579	1600450.0	6972.0	1776.0			375830.0	14375.0	597.0						
SRR8492580	1892245.0	354.0	156.0	6328.0		87110.0	13708.0	99.0						
SRR8492581	1907043.0	346.0	100.0	6102.0		71418.0	14904.0	87.0						
SRR8492582	1833678.0	665.0	289.0	7992.0		142291.0	14923.0	162.0						
SRR8492583	1857688.0	590.0	193.0	8717.0		116816.0	15847.0	149.0						
SRR8492584	1801874.0	977.0	260.0	7690.0		169336.0	19629.0	234.0						
SRR8492585	1468327.0	3993.0	377.0			509161.0	17363.0	779.0						
SRR8492586	1883021.0	640.0	215.0		13.0	103695.0	12370.0		46.0					
SRR8492587	1771626.0	1524.0	415.0		32.0	214264.0	11999.0		140.0					
SRR8492588	1708864.0	7236.0	150.0		243.0	268287.0	15104.0		116.0					
SRR8492589	1873630.0	472.0	310.0		21.0	111995.0	13485.0		87.0					
SRR8492590	1872304.0	550.0	185.0		24.0	111668.0	15215.0		54.0					
SRR8492591	1356722.0	143.0	44668.0		21737.0	529750.0	35488.0		11492.0					
SRR8492592	1625520.0	624.0	4919.0		1929.0	347399.0	18481.0		1128.0					
SRR8492594	1845803.0	152.0	3467.0		929.0	137094.0	11667.0		888.0					
SRR8492595	1570904.0	291.0	7256.0		3498.0	393687.0	22378.0		1986.0					
SRR8492596	1450469.0	117.0	14306.0		7009.0	504930.0	19211.0		3958.0					
SRR8492597	1870912.0	382.0	24.0		31.0	95929.0	32718.0		4.0					
SRR8492598	1785452.0	3415.0	105.0		20.0	138416.0	72560.0		32.0					
SRR8492599	1669664.0	3219.0	129.0		28.0	127562.0	199355.0		43.0					
SRR8492600	1826503.0	740.0	38.0		31.0	109698.0	62980.0		10.0					
SRR8492601	1741810.0	1239.0	47.0		42.0	153240.0	103609.0		13.0					
SRR8492602	1549442.0	140.0	44.0		91.0	438275.0	11993.0		15.0					
SRR8492603	1499485.0	211.0	85.0		92.0	488354.0	11758.0		15.0					
SRR8492604	1660693.0	65.0	32.0		73.0	326019.0	13112.0		6.0					
SRR8492605	1657782.0	45.0	26.0		78.0	335228.0	6832.0		9.0					
SRR8492606	1707057.0	31.0	15.0		65.0	286542.0	6290.0							
SRR8492607	1896056.0		1151.0		209.0	84487.0	17733.0		364.0					
SRR8492608	1586366.0	9102.0	14.0			387421.0	17086.0			11.0				
SRR8492609	1300193.0	10948.0	3.0			678144.0	10703.0			9.0				
SRR8492610	1462629.0	11324.0	340.0			513127.0	12548.0			32.0				
SRR8492611	1863357.0		684.0			120144.0	15775.0			35.0	5.0			
SRR8492612	1668315.0	6189.0	3498.0			305215.0	16734.0			48.0	1.0			
SRR8492613	1261360.0	12306.0	1.0			714925.0	11400.0			6.0	2.0			
SRR8492614	1715179.0	6517.0	78.0			269403.0	8802.0			21.0				
SRR8492615	1672645.0	8019.0	1582.0			302065.0	15657.0			30.0	2.0			
SRR8492616	1699069.0	5021.0	1977.0			279332.0	14546.0			54.0	1.0			
SRR8492617	1784784.0		2744.0			164877.0	47270.0			310.0	15.0			
SRR8492618	1920517.0	1147.0				67188.0	11138.0			10.0				
SRR8492619	1891962.0	2366.0	4.0			96738.0	8892.0			38.0				
SRR8492620	1792026.0	4291.0	17.0			194033.0	9600.0			33.0				
SRR8492621	1812464.0	4115.0	11.0			172720.0	10663.0			27.0				
SRR8492622	1851075.0	3121.0	4.0			138804.0	6969.0			24.0	3.0			
SRR8492623	1896990.0	1605.0	4.0			91659.0	9717.0			24.0	1.0			
SRR8492624	1892098.0	1455.0	2.0			93019.0	13395.0			30.0	1.0			
SRR8492625	1890602.0	1741.0	5.0			97569.0	10066.0			17.0				
SRR8492626	1534446.0	2.0	71.0			265398.0	157333.0			30089.0	12661.0			
SRR8492627	1875806.0	1806.0	1.0			112766.0	9593.0			26.0	2.0			
SRR8492628	1701423.0	887.0	1245.0			276811.0	19576.0			51.0	7.0			
SRR8492629	1684565.0	351.0	2644.0		2827.0	288760.0	20146.0		707.0					
SRR8492630	1348988.0	1201.0	2119.0		208.0	632545.0	14347.0		592.0					
SRR8492631	1805471.0	116.0	651.0		142.0	178201.0	15243.0		176.0					
SRR8492632	1835678.0	201.0	1873.0		179.0	143176.0	18366.0		527.0					
SRR8492633	1828412.0	229.0	940.0		55.0	155413.0	14736.0		215.0					
SRR8492634	1639900.0	179.0	15027.0		1483.0	303135.0	36277.0		3999.0					
SRR8492635	1753397.0	304.0	2317.0		195.0	222324.0	20860.0		603.0					
SRR8492636	1869179.0		807.0		173.0	111502.0	18110.0		229.0					
SRR8492637	1500169.0	410.0	26978.0		3278.0	381506.0	80032.0		7627.0					
SRR8492638	1891256.0		1160.0		476.0	77758.0	28914.0		436.0					
SRR8492639	1884191.0	498.0	317.0		30.0	100659.0	14238.0		67.0					
SRR8492640	1566780.0	5417.0	2552.0		235.0	409103.0	15260.0		653.0					
SRR8492641	1850941.0	2735.0	4.0		38.0	135997.0	10284.0		1.0					
SRR8492642	1682997.0	6744.0	8.0		50.0	297438.0	12758.0		5.0					
SRR8492643	1834917.0	3264.0	2.0		112.0	151189.0	10515.0		1.0					
SRR8492644	1819555.0	3247.0	36.0		54.0	166793.0	10282.0		33.0					
SRR8492645	1612600.0	9604.0	13.0		126.0	365316.0	12333.0		8.0					
SRR8492646	1651251.0	7716.0	7.0		72.0	331791.0	9153.0		10.0					
SRR8492647	1888380.0	1882.0	1.0		15.0	96799.0	12921.0		2.0					
SRR8492648	1922498.0	1347.0			12.0	64663.0	11480.0							
SRR8492649	1534120.0	13875.0	15.0		188.0	442399.0	9397.0		6.0					
SRR8492650	1886185.0	1967.0			16.0	100808.0	11021.0		3.0					
SRR8492651	1920948.0		517.0		122.0	54111.0	24153.0		149.0					
