Sample	Homo sapiens	Hydrogenophilus thermoluteolus	Allomeiothermus silvanus	Anoxybacillus amylolyticus	Phaeodactylum tricornutum	Other	Unclassified	Thalassiosira pseudonana	Halomonas sp. JS92-SW72	Pegivirus C	Moraxella osloensis
SRR10192165	1938764.0	2111.0	434.0	223.0	46.0	39468.0	18954.0				
SRR10192166	1929045.0	2940.0	803.0	339.0	175.0	51643.0	15055.0				
SRR10192167	1926745.0	875.0	226.0	120.0	67.0	59533.0	12434.0				
SRR10192168	1652492.0	5194.0	1007.0	588.0	240.0	321960.0	18519.0				
SRR10192169	1955525.0	603.0	179.0	78.0	42.0	30742.0	12831.0				
SRR10192170	1752457.0	3584.0	664.0	423.0	169.0	228143.0	14560.0				
SRR10192171	1803514.0	8647.0	2252.0	1169.0	608.0	156993.0	26817.0				
SRR10192172	1892266.0	1394.0	407.0	142.0	63.0	88924.0	16804.0				
SRR10192173	1146793.0	55906.0	13138.0	6347.0	1986.0	699844.0	75986.0				
SRR10192174	1836151.0	7338.0	2183.0	840.0	155.0	116330.0	37003.0				
SRR10192175	1867791.0	1632.0	456.0	205.0	164.0	117492.0	12260.0				
SRR10192176	1957414.0	240.0	69.0	29.0	15.0	29347.0	12886.0				
SRR10192177	1798212.0	5192.0	1589.0	876.0	1210.0	162026.0	30895.0				
SRR10192178	1899181.0	2208.0	584.0	271.0	321.0	81656.0	15779.0				
SRR10192179	1884131.0	3612.0	864.0	435.0	158.0	91770.0	19030.0				
SRR10192180	1870937.0	4255.0	1128.0	490.0	629.0	105386.0	17175.0				
SRR10192181	789967.0	35677.0	9032.0	4968.0	11993.0	1027629.0	120734.0				
SRR10192182	809072.0	39397.0	9346.0	5513.0	14898.0	971398.0	150376.0				
SRR10192183	1926624.0	1830.0	607.0	203.0	86.0	57546.0	13104.0				
SRR10192184	1857080.0	5045.0	1428.0	711.0	1117.0	111599.0	23020.0				
SRR10192185	914854.0	74177.0	15890.0	8484.0	1963.0	838012.0	146620.0				
