Dataset,Sample,ShannonEntropy
toden,SRR10192165,0.7487856819122659
toden,SRR10192166,0.7218684896422592
toden,SRR10192167,0.723686579744865
toden,SRR10192168,0.7161018363071874
toden,SRR10192169,0.7444353094587018
toden,SRR10192170,0.7302972825618539
toden,SRR10192171,0.7319194636867672
toden,SRR10192172,0.7496650807454819
toden,SRR10192173,0.5751209739441961
toden,SRR10192174,0.6882646829455733
toden,SRR10192175,0.7276548997638205
toden,SRR10192176,0.7612855699663412
toden,SRR10192177,0.7273169094635087
toden,SRR10192178,0.7163860788773273
toden,SRR10192179,0.7533211854153022
toden,SRR10192180,0.7022751566097466
toden,SRR10192181,0.4044035431882266
toden,SRR10192182,0.4088325572345048
toden,SRR10192183,0.7332503033875085
toden,SRR10192184,0.7148218797750789
toden,SRR10192185,0.44724599472556475
toden,SRR10192186,0.7161556866378078
toden,SRR10192187,0.4963824654882856
toden,SRR10192188,0.7425003976439708
toden,SRR10192189,0.7737443865033774
toden,SRR10192190,0.6955441328218746
toden,SRR10192191,0.724534492510042
toden,SRR10192192,0.4354725299677297
toden,SRR10192193,0.4230061787864537
toden,SRR10192194,0.7276117936297082
toden,SRR10192195,0.7348266618713102
toden,SRR10192196,0.4086421905574665
toden,SRR10192197,0.40819131253595436
toden,SRR10192198,0.70111917513129
toden,SRR10192199,0.7300000346172798
toden,SRR10192200,0.746631246773651
toden,SRR10192201,0.7136653347212231
toden,SRR10192202,0.4166565765335859
toden,SRR10192203,0.42804596338685846
toden,SRR10192204,0.7462330947359346
toden,SRR10192205,0.7367807460342172
toden,SRR10192206,0.7336451439022789
toden,SRR10192207,0.7172567420880046
toden,SRR10192208,0.457439698045019
toden,SRR10192209,0.4121603873589164
toden,SRR10192210,0.7725814643105673
toden,SRR10192211,0.7382195533349942
toden,SRR10192212,0.709131752661491
toden,SRR10192213,0.7307603730143013
toden,SRR10192214,0.4110293271680642
toden,SRR10192215,0.4641988505632383
toden,SRR10192216,0.7216295692177148
toden,SRR10192217,0.7228062385059265
toden,SRR10192218,0.6992539380382534
toden,SRR10192219,0.7266270907553212
toden,SRR10192220,0.45291720691541526
toden,SRR10192221,0.7344188056277143
toden,SRR10192222,0.7613636230030875
toden,SRR10192223,0.7276983536054006
toden,SRR10192224,0.7366772960738214
toden,SRR10192225,0.72625142295499
toden,SRR10192226,0.5883022061510612
toden,SRR10192227,0.7556946597948282
toden,SRR10192228,0.6015571851423215
toden,SRR10192229,0.7149925219115422
toden,SRR10192230,0.7047750475879562
toden,SRR10192231,0.7384901075207001
toden,SRR10192232,0.714869029551427
toden,SRR10192233,0.691001496169186
toden,SRR10192234,0.670987053051958
toden,SRR10192235,0.7294865632110992
toden,SRR10192236,0.6954368207069188
toden,SRR10192237,0.7193106100942822
toden,SRR10192238,0.7051862412870404
toden,SRR10192239,0.7405421633665179
toden,SRR10192240,0.7312246340545061
toden,SRR10192241,0.74325799664187
toden,SRR10192242,0.7358989750965311
toden,SRR10192243,0.7189274580466464
toden,SRR10192244,0.7093283593319273
toden,SRR10192245,0.6932810108987453
toden,SRR10192246,0.7246670374923879
toden,SRR10192247,0.7504604537148427
toden,SRR10192248,0.7261665596030257
toden,SRR10192249,0.7207168186286192
toden,SRR10192250,0.7096614715343513
toden,SRR10192251,0.7062635628846811
toden,SRR10192252,0.6892156854681006
toden,SRR10192253,0.7036332456038359
toden,SRR10192254,0.6896939328337878
toden,SRR10192255,0.7281384502721223
toden,SRR10192256,0.7331716488575875
toden,SRR10192257,0.7476853367612046
toden,SRR10192258,0.7238780657913166
toden,SRR10192259,0.7325805677959806
toden,SRR10192260,0.7430124999281763
toden,SRR10192261,0.7271034705947751
toden,SRR10192262,0.7394381896566785
toden,SRR10192263,0.759382433646778
toden,SRR10192264,0.727216100099524
toden,SRR10192265,0.7440761722886675
toden,SRR10192266,0.7723000863369069
toden,SRR10192267,0.7929009944362382
toden,SRR10192268,0.732229742241397
toden,SRR10192269,0.43175034563201875
toden,SRR10192270,0.6708317585867278
toden,SRR10192271,0.6184591937113144
toden,SRR10192272,0.7299222624130856
toden,SRR10192273,0.7061217299262864
toden,SRR10192274,0.49309211962757893
toden,SRR10192275,0.7111547444107754
toden,SRR10192276,0.7351824843011574
toden,SRR10192277,0.6792407085707735
toden,SRR10192278,0.42886340835522646
toden,SRR10192279,0.7070939680459657
toden,SRR10192280,0.7327112152038899
toden,SRR10192281,0.7080966851843673
toden,SRR10192282,0.45466650001468467
toden,SRR10192283,0.4625732339762924
toden,SRR10192284,0.7285573452471825
toden,SRR10192285,0.47169143989296963
toden,SRR10192286,0.7252549865954604
toden,SRR10192287,0.6850954299646568
toden,SRR10192288,0.7114882814047017
toden,SRR10192289,0.6745052159402313
toden,SRR10192290,0.6722645512295348
toden,SRR10192291,0.716798090622898
toden,SRR10192292,0.6922415507137858
toden,SRR10192293,0.6941289765565171
toden,SRR10192294,0.7231869204353196
toden,SRR10192295,0.6696346736072348
toden,SRR10192296,0.6949598919892285
toden,SRR10192297,0.6976409173237728
toden,SRR10192298,0.4438926092881086
toden,SRR10192299,0.6670806616051164
toden,SRR10192300,0.713307594349722
toden,SRR10192301,0.6835335806641147
toden,SRR10192302,0.7470646172653
toden,SRR10192303,0.6963385412147423
toden,SRR10192304,0.7157840478444
toden,SRR10192305,0.7090302181261792
toden,SRR10192306,0.6746264798027635
toden,SRR10192307,0.6983334881335683
toden,SRR10192308,0.710246957922483
toden,SRR10192309,0.7621854068604536
toden,SRR10192310,0.7111685794618681
toden,SRR10192311,0.4813076922789559
toden,SRR10192312,0.6641660098330533
toden,SRR10192313,0.7144383541046668
toden,SRR10192314,0.4621812127857124
toden,SRR10192315,0.717029057952533
toden,SRR10192316,0.698578651573978
toden,SRR10192317,0.6606985021655011
toden,SRR10192318,0.7273703221548882
toden,SRR10192319,0.6979436855157929
toden,SRR10192320,0.7212956508264402
toden,SRR10192321,0.6847252571141806
